Distance (m),Elevation (m)
3348.432417,117.9827194
3358.672271,117.9523392
3368.912125,118.1663437
3379.15198,118.0889969
3389.391834,118.4525757
3399.631689,119.0493546
3409.871543,118.7732925
3420.111398,118.1958847
3430.351252,118.2353821
3440.591107,118.7529144
3450.830961,118.947998
3461.070816,118.9613571
3471.31067,118.7897949
3481.550525,118.3610535
3491.790379,118.5298004
3502.030234,119.1326294
3512.270088,119.1794281
3522.509943,119.0939407
3532.749797,119.3201065
3542.989652,119.6115112
3553.229506,119.582016
3563.469361,119.2778931
3573.709215,119.1626587
3583.94907,119.0708313
3594.188924,119.0349274
3604.428779,119.0365524
3614.668633,118.925766
3624.908488,118.9020767
3635.148342,119.2523804
3645.388197,119.5111084
3655.628051,119.6331558
3665.867906,119.8441238
3676.10776,119.6707077
3686.347615,119.5295105
3696.587469,119.7738113
3706.827323,119.8596268
3717.067178,119.8254471
3727.307032,120.1023407
3737.546887,120.2318878
3747.786741,120.6307907
3758.026596,121.1002502
3768.26645,121.0094299
3778.506305,121.6010742
3788.746159,121.6184006
3798.986014,121.1071625
3809.225868,121.0070343
3819.465723,121.247673
3829.705577,121.3312531
3839.945432,121.4660339
3850.185286,121.3374405
3860.425141,120.8908005
3870.664995,120.8697662
3880.90485,121.7370529
3891.144704,122.7876587
3901.384559,122.9537888
3911.624413,122.5914612
3921.864268,122.4940872
3932.104122,122.4602509
3942.343977,122.391449
3952.583831,122.5583649
3962.823686,122.6964188
3973.06354,122.5505219
3983.303395,122.3176956
3993.543249,122.2075272
4003.783104,121.910202
4014.022958,121.8520355
4024.262813,122.612648
4034.502667,124.5349045
4044.742521,126.2372665
4054.982376,126.3410873
4065.22223,125.9883804
4075.462085,125.3617706
4085.701939,124.1687012
4095.941794,123.3014984
4106.181648,122.9677048
4116.421503,122.8895569
4126.661357,122.8226089
4136.901212,123.0318756
4147.141066,123.3151016
4157.380921,123.4032669
4167.620775,123.1823425
4177.86063,123.0221024
4188.100484,122.9164352
4198.340339,123.2683258
4208.580193,123.3296585
4218.820048,123.0374908
4229.059902,122.625679
4239.299757,122.3139725
4249.539611,122.3560104
4259.779466,122.0037918
4270.01932,121.7322083
4280.259175,122.1720581
4290.499029,122.2640228
4300.738884,121.3200989
4310.978738,120.9776459
4321.218593,121.2067413
4331.458447,121.5533905
4341.698302,121.8201828
4351.938156,122.5059357
4362.178011,124.1043396
4372.417865,125.1247406
4382.657719,124.8778229
4392.897574,124.1251678
4403.137428,122.7663651
4413.377283,121.7969742
4423.617137,121.7956009
4433.856992,121.8090973
4444.096846,121.9112015
4454.336701,122.0050507
4464.576555,122.1607361
4474.81641,122.3918381
4485.056264,122.4029007
4495.296119,122.4347839
4505.535973,121.6762009
4515.775828,121.4178772
4526.015682,121.9441528
4536.255537,122.5555038
4546.495391,122.7557907
4556.735246,122.801918
4566.9751,122.7781067
4577.214955,123.0383072
4587.454809,123.2100067
4597.694664,122.4550934
4607.934518,122.5196304
4618.174373,122.9395905
4628.414227,123.0573959
4638.654082,123.2909851
4648.893936,123.4301224
4659.133791,123.273056
4669.373645,123.0632324
4679.6135,123.2421417
4689.853354,123.4970474
4700.093209,123.5766754
4710.333063,123.6948318
4720.572917,123.650444
4730.812772,123.5893173
4741.052626,123.7759323
4751.292481,124.1023865
4761.532335,124.3231735
4771.77219,124.5137863
4782.012044,124.6894913
4792.251899,124.8535995
4802.491753,125.0115585
4812.731608,125.164032
4822.971462,125.3123627
4833.211317,125.4552841
4843.451171,125.5914307
4853.691026,125.7178268
4863.93088,125.8302689
4874.170735,125.920845
4884.410589,125.9726944
4894.650444,125.9748764
4904.890298,125.978508
4915.130153,126.0486298
4925.370007,125.8897018
4935.609862,125.5946579
4945.849716,125.5326996
4956.089571,125.3555908
4966.329425,125.1004105
4976.56928,124.865448
4986.809134,124.7606812
4997.048989,124.5229797
5007.288843,124.219162
5017.528698,124.4625473
5027.768552,125.6665649
5038.008407,126.881012
5048.248261,127.3748016
5058.488115,126.8034668
5068.72797,126.7952423
5078.967824,126.9510117
5089.207679,127.0471039
5099.447533,127.1505966
5109.687388,127.231102
5119.927242,127.0846634
5130.167097,126.6161652
5140.406951,126.6038132
5150.646806,127.1046829
5160.88666,127.4626465
5171.126515,127.5644836
5181.366369,127.5036087
5191.606224,127.3113098
5201.846078,126.8634872
5212.085933,126.3928223
5222.325787,125.9249573
5232.565642,125.2624817
