Distance (m),Elevation (m)
4220.275499,252.0021973
4243.852457,253.2109222
4267.429415,254.1170502
4291.006373,253.8621979
4314.583331,253.4052887
4338.160289,252.8176727
4361.737247,253.2454224
4385.314205,253.0288391
4408.891163,253.0487976
4432.468121,252.908844
4456.045079,252.7433472
4479.622038,252.852829
4503.198996,252.9332581
4526.775954,252.8957977
4550.352912,252.3973694
4573.92987,252.661377
4597.506828,250.9685364
4621.083786,249.5599518
4644.660744,248.2990875
4668.237702,247.0978241
4691.81466,246.2414856
4715.391619,245.1528015
4738.968577,243.7623596
4762.545535,244.6627808
4786.122493,244.3821411
4809.699451,243.7989807
4833.276409,243.348114
4856.853367,243.2272186
4880.430325,243.257431
4904.007283,242.3495178
4927.584241,244.2346497
4951.161199,245.8095856
4974.738158,247.0171967
4998.315116,247.5917358
5021.892074,248.2447357
5045.469032,249.5569611
5069.04599,249.1801147
5092.622948,248.8839417
5116.199906,250.683075
5139.776864,251.0812378
5163.353822,251.9114227
5186.93078,254.0074768
5210.507738,254.824585
5234.084697,255.5484161
5257.661655,255.4038696
5281.238613,256.1341858
5304.815571,255.1018066
5328.392529,254.9134674
5351.969487,255.3656158
5375.546445,256.0267334
5399.123403,256.9916382
5422.700361,257.313324
5446.277319,257.8786011
5469.854277,259.1261902
5493.431236,259.5048523
5517.008194,260.8292847
5540.585152,261.6133728
5564.16211,262.2303772
5587.739068,263.7608032
5611.316026,264.7225952
5634.892984,265.5827637
5658.469942,266.5836792
5682.0469,267.9812317
5705.623858,269.3583679
5729.200816,270.819519
5752.777775,271.5614624
5776.354733,272.6351318
5799.931691,273.7484436
5823.508649,274.7669373
5847.085607,275.5340271
5870.662565,276.61203
5894.239523,277.4615173
5917.816481,277.3916626
5941.393439,278.1951904
5964.970397,278.4503479
5988.547355,279.1551208
6012.124314,279.3904724
6035.701272,279.9648132
6059.27823,279.6361084
6082.855188,280.0764465
6106.432146,280.325531
6130.009104,279.9671326
6153.586062,280.0493469
6177.16302,280.252533
6200.739978,280.4104614
6224.316936,279.9796143
6247.893895,279.9052429
6271.470853,279.4161682
6295.047811,278.7223206
6318.624769,278.4745178
6342.201727,278.2678528
6365.778685,277.584198
6389.355643,277.6850281
6412.932601,277.6213074
6436.509559,277.3599243
6460.086517,276.5869446
6483.663475,276.3401794
6507.240434,275.7625122
6530.817392,275.156189
6554.39435,274.4992676
6577.971308,274.1312561
6601.548266,273.6910706
6625.125224,273.3099365
6648.702182,272.4141541
6672.27914,271.7974548
6695.856098,270.0584106
6719.433056,268.1101685
6743.010014,265.4852905
6766.586973,263.9732056
6790.163931,262.8564758
6813.740889,261.8743286
6837.317847,261.5638733
6860.894805,260.8546143
6884.471763,260.2393494
6908.048721,259.7772827
6931.625679,259.0376892
6955.202637,257.7532349
6978.779595,256.8749695
7002.356553,255.2809448
7025.933512,253.6003571
7049.51047,252.2656097
