Distance (m),Elevation (m)
2039.672456,172.1178741
2054.138218,172.8752747
2068.60398,174.3557739
2083.069742,175.9532776
2097.535504,176.515976
2112.001266,177.4875946
2126.467029,178.9175873
2140.932791,179.8896332
2155.398553,181.0400543
2169.864315,182.1625366
2184.330077,183.90979
2198.795839,185.8677979
2213.261601,187.0425415
2227.727363,188.3653412
2242.193125,189.7991638
2256.658887,191.5182343
2271.124649,192.5666962
2285.590412,193.1831665
2300.056174,193.9518738
2314.521936,195.5194397
2328.987698,197.0142517
2343.45346,198.6707458
2357.919222,198.9321594
2372.384984,199.9335938
2386.850746,201.753067
2401.316508,203.522583
2415.78227,204.3526917
2430.248033,205.3128662
2444.713795,206.8167725
2459.179557,209.0537262
2473.645319,209.8930054
2488.111081,210.326767
2502.576843,210.9856873
2517.042605,211.8106384
2531.508367,212.9933624
2545.974129,214.2097473
2560.439891,215.094635
2574.905654,215.997818
2589.371416,217.5188599
2603.837178,217.6296997
2618.30294,218.228653
2632.768702,219.8385773
2647.234464,221.3321381
2661.700226,222.7572632
2676.165988,224.2119751
2690.63175,225.5801086
2705.097512,227.8418884
2719.563275,229.5077972
2734.029037,229.7479095
2748.494799,230.3708496
2762.960561,230.9575806
2777.426323,231.6016235
2791.892085,231.941452
2806.357847,232.3151855
2820.823609,232.4008026
2835.289371,233.0577393
2849.755133,233.7918549
2864.220896,234.4964294
2878.686658,235.5429993
2893.15242,237.0020142
2907.618182,237.4364624
2922.083944,238.0050354
2936.549706,238.3838196
2951.015468,238.4979095
2965.48123,239.6846924
2979.946992,240.4551086
2994.412754,241.052887
3008.878517,241.6395416
3023.344279,241.9936066
3037.810041,242.4077911
3052.275803,242.182785
3066.741565,242.2150879
3081.207327,242.4667206
3095.673089,241.9506531
3110.138851,242.3535767
3124.604613,243.0450287
3139.070375,243.0751495
3153.536138,242.9781952
3168.0019,243.1786041
3182.467662,243.5201416
3196.933424,243.7685852
3211.399186,243.6290436
3225.864948,244.9143219
3240.33071,246.4530792
3254.796472,247.670639
3269.262234,248.250885
3283.727996,248.7592316
3298.193758,249.2696075
3312.659521,250.7664642
3327.125283,251.7723694
3341.591045,252.7975464
3356.056807,252.89534
3370.522569,254.1574707
3384.988331,255.7108307
3399.454093,257.0422974
3413.919855,258.0995483
3428.385617,259.6525269
3442.851379,260.9588318
3457.317142,262.1264343
3471.782904,263.5400085
3486.248666,264.3229675
3500.714428,264.6361694
3515.18019,265.185791
3529.645952,265.9574585
3544.111714,266.2349548
3558.577476,266.2494812
3573.043238,266.9300232
3587.509,267.4871216
3601.974763,267.4520569
3616.440525,267.5007935
3630.906287,267.907074
3645.372049,268.1313477
3659.837811,268.5492859
3674.303573,268.7451477
3688.769335,268.7136841
3703.235097,268.5671082
3717.700859,268.734436
3732.166621,268.2841187
3746.632384,268.0389099
3761.098146,267.7853394
3775.563908,267.1988525
3790.02967,266.8022766
3804.495432,265.9702454
3818.961194,265.5446167
3833.426956,265.821167
3847.892718,266.1593933
3862.35848,265.8664551
3876.824242,265.9653931
3891.290005,266.1134949
3905.755767,266.096405
3920.221529,266.5727234
3934.687291,267.206665
3949.153053,267.7376099
3963.618815,267.7806396
3978.084577,267.2514648
3992.550339,267.0384216
4007.016101,265.9705505
4021.481863,265.0276489
4035.947626,263.9960938
4050.413388,262.9797974
4064.87915,262.3417969
4079.344912,263.1319275
4093.810674,263.9234009
4108.276436,264.3118286
4122.742198,264.7167969
4137.20796,265.9363708
4151.673722,267.5636902
4166.139484,268.3952637
4180.605247,268.4794617
4195.071009,268.522522
4209.536771,268.798645
4224.002533,268.8092651
4238.468295,268.2749939
4252.934057,268.4815979
4267.399819,268.6388855
4281.865581,269.0003357
4296.331343,269.389801
4310.797105,269.5940247
4325.262867,269.8479004
4339.72863,270.2424927
4354.194392,270.4990845
4368.660154,270.9270935
4383.125916,271.0357056
4397.591678,270.9915771
4412.05744,271.119751
4426.523202,271.1837769
4440.988964,271.3592834
4455.454726,271.3355408
4469.920488,270.9881287
4484.386251,270.4983521
4498.852013,269.9063721
4513.317775,269.4740906
4527.783537,269.1469421
4542.249299,268.7680969
4556.715061,268.4585571
4571.180823,268.1787415
4585.646585,268.2346497
4600.112347,268.5443115
4614.578109,268.9866333
4629.043872,269.2632751
4643.509634,268.5537415
4657.975396,267.8807678
4672.441158,266.8178406
4686.90692,265.726593
4701.372682,264.716156
4715.838444,264.3908691
4730.304206,263.9649353
4744.769968,263.085968
4759.23573,263.2408752
4773.701493,264.1282043
4788.167255,264.9850464
4802.633017,265.9959717
4817.098779,266.9871216
4831.564541,267.3525085
4846.030303,267.9642639
4860.496065,268.5209351
4874.961827,268.6682434
4889.427589,267.802887
4903.893351,266.7874451
4918.359114,266.1591797
4932.824876,266.0542603
4947.290638,265.8891907
4961.7564,265.8148804
4976.222162,266.0892334
4990.687924,265.8357849
5005.153686,265.5094299
5019.619448,265.919281
5034.08521,266.7315674
5048.550972,267.0645752
5063.016735,267.6539001
5077.482497,267.9806824
5091.948259,268.2861023
5106.414021,268.7454224
5120.879783,268.614563
5135.345545,268.6651917
5149.811307,268.6999817
5164.277069,268.5088501
5178.742831,268.2480469
5193.208593,267.899353
5207.674356,267.1499939
5222.140118,267.084198
5236.60588,267.4184875
5251.071642,266.9017029
5265.537404,266.3703308
5280.003166,266.1638489
5294.468928,265.6817322
5308.93469,265.0641174
5323.400452,264.3858032
5337.866214,263.7023926
5352.331977,263.0768738
5366.797739,261.7165527
5381.263501,260.2851257
5395.729263,258.6835938
5410.195025,257.6018372
5424.660787,256.6323853
5439.126549,255.203125
5453.592311,253.7424774
5468.058073,252.9443665
5482.523835,251.8770142
5496.989597,250.6484222
5511.45536,249.4294434
5525.921122,248.599472
5540.386884,248.3391418
5554.852646,247.6302338
5569.318408,246.2330475
5583.78417,244.9263763
5598.249932,243.776001
5612.715694,243.5927887
5627.181456,243.1526642
5641.647218,242.8994598
5656.112981,242.7976532
5670.578743,242.9223633
5685.044505,242.6675415
5699.510267,241.9565277
5713.976029,242.0752258
5728.441791,242.4717255
5742.907553,241.8524323
5757.373315,242.3749847
5771.839077,242.1352997
5786.304839,241.8280029
5800.770602,241.2940063
5815.236364,240.8180695
5829.702126,240.1145325
5844.167888,239.2681732
5858.63365,238.2965393
5873.099412,238.3085938
5887.565174,237.6649628
5902.030936,237.4984741
5916.496698,236.3318329
5930.96246,235.0517273
5945.428223,234.1228485
5959.893985,233.6453705
5974.359747,232.6850128
5988.825509,232.4671173
6003.291271,232.1760559
6017.757033,231.9749908
6032.222795,231.5728607
6046.688557,230.826004
6061.154319,230.0283051
6075.620081,229.7447052
6090.085844,228.4821625
6104.551606,226.2600861
6119.017368,224.5563202
6133.48313,223.3504486
6147.948892,221.9465637
6162.414654,220.2301483
6176.880416,218.8133698
6191.346178,217.4945984
6205.81194,217.6664276
6220.277702,216.3825378
6234.743465,215.4506836
6249.209227,214.5585022
6263.674989,213.4727936
6278.140751,212.1747131
6292.606513,211.3085327
6307.072275,210.5926056
6321.538037,209.8516541
6336.003799,209.591156
6350.469561,207.6522675
6364.935323,205.76297
6379.401086,204.6667328
6393.866848,203.7378693
6408.33261,202.5600281
6422.798372,200.6356354
6437.264134,199.5681458
6451.729896,199.1863403
6466.195658,197.8986206
6480.66142,195.9732208
6495.127182,194.5142975
6509.592944,193.3226471
6524.058706,192.7368622
6538.524469,191.880127
6552.990231,190.1837769
6567.455993,188.7493591
6581.921755,187.3381653
6596.387517,186.1984863
6610.853279,184.4855347
6625.319041,182.5961151
6639.784803,181.35672
6654.250565,180.1457062
6668.716327,179.1652527
6683.18209,177.9834595
6697.647852,176.6510162
6712.113614,176.0041046
6726.579376,174.8450165
6741.045138,173.1193695
6755.5109,172.0657043
6769.976662,171.2052155
6784.442424,169.976059
6798.908186,169.6488953
6813.373948,169.0240326
6827.839711,167.6502991
6842.305473,166.6790009
6856.771235,166.0191803
6871.236997,164.9796448
6885.702759,163.3214874
6900.168521,162.8766785
6914.634283,160.8352661
6929.100045,158.4079285
6943.565807,156.6651459
6958.031569,154.9125824
6972.497332,153.4267578
6986.963094,152.5659637
7001.428856,151.0246124
